4 4 4 4 7 4 4 4 4 
3 3 4 4 7 3 3 6 5 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 3 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 7 4 4 4 3 
3 2 4 4 7 3 4 6 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 3 7 4 4 4 3 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 5 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 3 7 4 4 4 3 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 3 4 3 7 4 4 4 3 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 5 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 3 7 4 4 4 3 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 3 4 7 4 4 4 4 
4 4 4 4 7 4 4 5 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 3 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 3 4 7 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 3 4 7 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 3 4 7 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 4 7 4 4 5 4 
4 4 4 4 7 4 4 4 3 
4 4 4 4 7 4 4 4 4 
4 4 4 4 4 4 4 4 4 
4 4 4 3 7 4 4 4 3 
4 4 4 4 7 4 4 4 4 
