10 12 5 19 24 26 22 5 16 2 24 1 16 3 11 15 14 23 8 7 18 8 21 25 25 15 2 16 3 21 24 22 11 2 24 26 26 15 20 10 3 24 4 2 17 9 16 1 24 1 20 15 17 14 20 4 19 9 22 6 6 2 14 21 1 20 7 12 18 20 1 23 15 17 10 10 24 6 4 4 19 21 20 1 18 26 23 5 16 13 19 23 10 25 15 3 16 22 26 22 24 14 24 12 2 17 16 18 18 19 14 1 14 1 22 7 12 14 7 11 14 17 4 3 16 4 19 25 21 18 25 7 22 1 21 12 15 18 18 14 4 10 6 21 23 21 3 3 6 16 3 10 16 13 9 21 3 24 6 18 18 3 3 5 7 24 21 16 21 1 11 11 14 6 12 22 13 6 25 7 15 3 1 23 16 14 16 25 20 24 17 15 9 25 22 22 13 5 7 5 5 18 19 21 11 15 2 18 23 26 20 17 5 8 20 19 13 19 25 24 11 17 7 26 12 12 9 2 17 10 
5 1 1 14 1 4 15 23 25 7 1 15 14 24 6 2 10 23 1 19 16 24 1 19 25 17 14 20 21 16 6 2 14 18 7 5 6 1 8 8 17 18 21 7 2 3 2 4 23 11 3 22 5 24 24 5 21 6 16 11 1 25 23 17 24 5 6 24 12 17 12 21 4 22 18 21 14 14 15 19 1 16 19 14 16 22 7 3 22 4 21 6 19 21 11 20 3 8 12 22 2 8 22 17 22 9 2 22 6 10 13 13 5 10 5 14 25 19 4 20 5 16 14 9 2 18 5 24 23 14 7 15 1 14 3 22 4 13 16 24 10 20 21 1 11 2 5 16 6 2 21 14 5 20 15 8 6 4 19 1 15 19 14 19 16 14 17 14 5 4 23 12 13 4 21 11 1 7 12 22 16 23 17 23 21 14 6 24 20 6 20 15 11 6 24 20 16 12 22 11 18 17 2 1 8 2 17 22 12 25 4 15 6 1 19 15 21 24 17 14 19 20 17 22 3 11 11 10 12 13 
15 1 3 23 3 6 14 18 7 8 12 15 17 22 12 7 20 9 1 1 16 2 9 1 2 9 15 3 23 4 11 10 14 18 8 5 25 1 5 15 19 18 2 6 1 1 1 19 12 19 19 17 2 24 6 5 6 23 9 22 16 15 17 24 21 5 22 23 4 24 20 14 11 23 18 3 3 14 25 23 17 6 22 14 19 21 1 8 23 10 9 4 18 7 11 1 8 5 10 6 9 5 23 15 21 9 10 15 5 18 11 19 12 24 3 1 1 18 12 14 16 11 10 7 14 11 2 21 4 16 10 25 1 8 4 3 5 14 18 25 23 1 25 1 10 8 8 4 16 2 4 24 11 1 17 4 23 2 5 23 17 12 11 19 22 17 8 1 23 2 4 18 18 11 18 1 8 15 10 21 21 22 21 5 21 14 9 24 18 15 23 23 4 9 25 5 16 16 9 4 21 14 2 4 15 6 12 11 20 24 5 14 11 2 3 11 10 15 18 14 14 20 14 2 2 11 2 10 12 1 
20 1 8 6 24 23 1 13 14 1 7 16 1 23 5 9 14 23 5 18 22 18 18 4 15 20 20 23 13 2 3 14 16 19 4 1 16 16 6 11 13 21 25 12 2 3 11 10 12 18 18 18 14 12 1 10 1 13 8 8 8 11 6 14 11 18 22 9 13 6 20 20 25 24 6 2 8 10 24 8 10 23 22 4 8 8 22 5 20 18 18 18 2 1 20 23 8 18 14 1 5 4 22 18 4 2 22 11 22 21 24 20 24 13 2 16 12 23 13 15 3 20 14 15 21 22 1 20 1 18 4 4 2 21 23 2 5 3 20 5 15 21 16 2 24 24 7 15 11 20 15 24 18 12 16 8 7 3 10 23 11 2 13 19 21 18 7 17 24 24 17 1 21 8 2 10 25 15 19 9 21 22 11 16 9 13 23 20 6 18 15 16 21 25 10 12 21 12 12 21 20 14 21 14 10 16 25 1 24 24 16 23 15 14 10 15 16 18 17 24 24 5 1 3 2 22 24 24 23 3 
15 16 1 6 3 2 14 13 12 1 12 16 1 23 4 9 20 6 5 15 25 17 18 6 15 5 20 23 3 20 13 14 17 4 4 1 15 10 10 10 13 2 25 19 14 1 2 20 13 22 1 25 12 9 1 10 2 11 8 8 6 10 5 13 11 18 21 9 5 13 20 7 11 7 6 20 8 10 2 20 10 17 17 1 18 7 21 24 7 9 18 22 10 2 19 6 16 2 16 20 13 1 16 16 20 2 8 25 20 23 8 7 1 3 13 7 12 11 14 1 1 10 14 15 24 12 1 8 10 18 4 5 2 4 22 16 13 4 19 5 15 1 16 1 23 16 2 23 11 21 21 1 13 20 16 6 13 18 25 5 9 10 14 21 21 19 2 13 24 1 16 24 21 20 19 10 7 14 18 9 21 1 11 18 8 9 18 18 5 20 1 17 21 21 24 11 16 16 12 22 20 15 21 4 10 16 25 12 19 12 13 23 14 13 13 23 24 18 10 24 24 5 9 3 1 22 23 23 24 7 
2 1 7 24 21 3 15 23 10 7 1 5 14 7 4 2 9 11 22 19 16 4 10 19 25 16 12 17 21 16 7 2 14 19 7 5 24 16 6 9 17 17 22 7 6 2 8 4 12 10 3 22 2 25 24 3 21 9 15 11 21 6 21 18 6 3 22 24 12 10 12 21 14 15 17 11 16 14 25 20 19 20 22 1 15 21 7 2 25 10 9 6 21 20 11 19 8 10 11 21 11 8 23 16 22 5 2 9 5 10 5 1 4 23 5 13 25 19 17 12 6 16 13 7 4 18 19 2 2 9 5 5 6 15 3 15 1 14 16 25 3 16 21 1 10 2 8 15 6 1 3 15 24 15 14 2 7 23 17 1 15 19 2 17 17 14 17 14 5 1 23 1 1 3 18 10 1 14 4 22 16 23 5 23 20 14 9 23 9 6 21 23 14 11 23 20 16 17 22 2 17 19 1 19 7 1 24 23 17 24 14 16 2 4 20 20 19 22 17 14 11 20 14 24 3 11 24 12 12 12 
20 11 8 11 18 22 3 13 13 1 1 21 1 23 5 9 24 5 5 4 11 17 18 18 14 20 19 23 4 21 12 14 17 4 22 1 15 1 9 2 25 19 25 9 11 1 10 17 15 22 22 25 20 9 10 10 7 12 11 8 20 10 5 11 9 18 21 5 5 14 9 7 20 25 6 25 20 10 2 17 1 23 19 7 25 8 12 4 20 18 16 20 8 1 16 23 12 1 14 24 12 3 16 11 21 2 21 25 21 23 24 1 5 19 15 24 11 13 13 23 2 5 13 14 8 24 18 4 16 19 20 5 1 7 13 17 1 3 17 13 14 1 16 3 24 17 1 22 1 21 12 22 19 22 15 7 13 3 2 16 9 1 14 21 20 19 19 10 17 23 18 23 21 8 22 6 25 7 19 21 6 22 11 16 20 11 18 19 6 7 1 1 5 24 14 18 20 5 24 22 11 25 7 14 10 16 25 2 19 6 12 12 15 5 4 17 24 18 7 24 24 5 1 19 22 22 25 1 24 20 
