23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 23 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 24 22 22 22 22 22 22 22 22 22 22 22 22 22 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 26 26 26 26 26 26 26 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 19 19 19 19 19 19 19 19 19 19 19 19 19 19 
6 4 6 4 1 2 1 1 1 1 25 5 25 6 5 17 1 3 6 17 4 2 17 4 3 4 6 17 3 1 4 6 17 17 2 1 4 17 17 17 3 4 1 2 2 6 17 6 6 1 10 7 24 17 1 10 4 17 5 4 1 5 6 10 17 6 4 6 5 11 7 5 3 2 6 18 18 2 25 7 17 5 25 9 8 25 10 10 10 10 25 10 9 11 10 10 9 9 9 9 9 9 9 9 9 9 9 11 11 24 22 22 24 22 22 13 13 12 13 12 13 21 13 14 15 12 13 13 13 15 15 14 3 14 3 3 2 15 2 15 15 15 14 14 15 14 14 14 15 15 15 14 3 2 3 16 24 14 3 3 3 6 18 6 14 18 24 5 5 18 20 5 17 19 19 23 19 23 23 19 19 23 23 5 20 20 20 21 20 23 21 21 21 20 21 20 20 21 21 22 19 23 21 21 20 21 22 22 24 17 5 11 20 21 20 20 24 22 17 17 24 20 22 11 11 11 22 22 11 5 
10 24 22 20 10 18 20 7 2 2 20 18 11 21 25 12 15 14 11 25 16 16 9 9 22 4 4 25 23 18 7 19 24 26 13 26 16 15 9 17 20 9 22 10 19 20 18 9 3 24 9 16 24 6 22 7 2 5 24 24 16 18 13 26 11 13 20 7 16 21 3 17 10 12 2 25 8 4 25 11 13 10 21 26 9 24 14 11 10 17 5 7 7 3 22 14 11 13 21 17 8 1 17 16 4 11 5 9 7 13 9 8 23 14 14 11 21 13 4 10 13 11 3 24 13 3 21 12 7 4 23 22 12 1 2 19 10 6 23 8 17 11 15 21 22 17 20 25 25 4 16 20 8 18 20 1 19 22 5 25 26 1 12 3 11 9 9 21 25 15 22 16 15 9 3 14 24 21 21 19 23 25 26 11 13 22 9 2 8 25 26 15 16 17 18 24 7 18 18 16 19 8 17 16 8 24 19 15 1 18 19 25 17 2 2 16 5 17 10 25 14 17 17 3 12 16 2 2 17 19 
5 18 11 20 9 19 16 1 11 26 17 9 20 3 2 16 7 18 11 11 13 21 22 20 7 9 17 26 21 17 24 1 7 3 21 17 21 10 11 2 24 1 12 21 10 7 19 2 19 8 1 26 1 16 18 25 16 13 7 17 6 13 1 19 10 8 9 4 10 16 24 8 4 5 21 19 17 2 11 25 13 9 19 12 23 10 23 1 15 18 19 1 6 8 21 5 19 9 2 13 19 26 10 3 20 9 5 19 9 17 24 15 26 10 22 25 3 7 17 20 24 6 1 13 9 11 15 22 3 12 1 10 1 3 26 1 10 10 5 10 15 17 7 7 13 12 13 12 10 16 19 17 19 22 23 25 3 21 21 20 7 8 25 24 4 7 7 8 23 4 10 1 9 4 4 9 22 26 8 12 24 25 3 10 9 8 4 18 9 24 11 11 14 4 19 3 13 20 1 14 22 15 16 7 16 20 1 21 24 14 5 18 25 9 1 24 22 15 11 2 25 9 19 13 21 21 23 22 22 1 
2 6 9 19 10 12 14 2 16 16 23 22 22 1 4 22 11 20 11 18 15 4 19 26 21 24 24 21 23 14 17 10 15 24 8 25 10 6 20 18 21 3 7 18 2 10 10 6 15 4 24 24 11 1 11 3 8 19 2 25 19 13 25 19 9 12 22 5 22 23 6 2 20 5 12 13 2 14 4 25 15 10 20 9 17 18 2 26 7 19 26 22 21 4 25 24 4 5 5 4 5 18 1 15 25 10 11 6 24 2 19 10 12 14 21 18 13 7 15 25 11 20 5 6 12 1 11 18 5 10 26 18 23 9 5 4 4 21 7 5 16 5 17 16 14 21 24 7 15 18 14 5 6 19 21 15 2 23 26 18 11 18 23 18 2 9 17 4 13 4 6 26 25 20 13 11 22 20 4 6 17 17 12 25 8 2 15 12 24 5 15 6 15 7 25 6 9 19 24 2 25 19 2 11 10 10 13 26 15 3 22 7 8 21 8 18 26 6 19 25 15 13 25 21 14 21 2 14 20 12 
6 5 17 25 20 9 21 24 24 15 26 21 22 23 18 6 23 5 11 4 8 8 7 12 1 2 11 5 11 25 9 6 20 21 19 22 21 12 3 7 2 21 21 21 23 24 26 2 9 5 13 1 13 17 17 25 7 18 8 14 19 9 23 13 2 23 5 14 8 15 9 1 1 19 24 20 18 26 15 4 2 10 9 20 20 25 1 1 14 24 6 11 25 15 22 6 2 17 10 4 25 13 9 21 13 9 2 18 22 12 10 7 23 12 9 11 13 20 12 22 13 15 5 3 4 1 20 26 21 24 14 2 16 15 24 15 8 22 19 25 10 12 19 5 26 12 8 10 5 4 21 11 9 12 25 24 4 21 1 22 13 16 5 9 8 8 20 23 8 16 1 9 1 11 11 24 24 22 3 8 11 21 21 16 9 24 16 8 1 5 13 3 22 6 13 15 6 7 15 6 18 19 21 10 3 22 16 5 6 3 4 22 2 4 11 18 15 24 2 8 23 8 9 8 20 11 11 23 4 21 
10 24 22 20 10 18 20 7 2 2 20 18 11 21 25 12 15 14 11 25 16 16 9 9 22 4 4 25 23 18 7 19 24 26 13 26 16 15 9 17 20 9 22 10 19 20 18 9 3 24 9 16 24 6 22 7 2 5 24 24 16 18 13 26 11 13 20 7 16 21 3 17 10 12 2 25 8 4 25 11 13 10 21 26 9 24 14 11 10 17 5 7 7 3 22 14 11 13 21 17 8 1 17 16 4 11 5 9 7 13 9 8 23 14 14 11 21 13 4 10 13 11 3 24 13 3 21 12 7 4 23 22 12 1 2 19 10 6 23 8 17 11 15 21 22 17 20 25 25 4 16 20 8 18 20 1 19 22 5 25 26 1 12 3 11 9 9 21 25 15 22 16 15 9 3 14 24 21 21 19 23 25 26 11 13 22 9 2 8 25 26 15 16 17 18 24 7 18 18 16 19 8 17 16 8 24 19 15 1 18 19 25 17 2 2 16 5 17 10 25 14 17 17 3 12 16 2 2 17 19 
7 15 22 11 3 10 15 7 5 26 13 17 4 19 20 24 7 20 8 1 13 22 20 13 4 1 15 20 3 22 2 1 16 14 21 3 14 3 6 7 20 24 7 3 13 3 20 17 14 1 14 1 2 5 6 23 7 9 23 26 21 10 19 10 6 24 25 22 21 1 24 4 17 6 23 18 5 15 25 23 12 16 2 13 26 3 21 13 25 5 12 9 19 11 21 24 12 1 26 8 4 24 22 15 23 9 15 10 6 19 7 21 24 3 10 11 22 11 9 7 19 18 6 15 6 12 16 13 21 26 13 15 4 22 8 24 15 2 21 25 23 4 18 22 7 22 1 8 16 13 12 10 2 6 18 25 17 17 20 18 13 17 18 10 6 4 23 9 15 16 20 21 17 21 20 1 21 24 25 25 14 1 23 20 24 24 17 22 4 1 6 25 4 8 15 21 12 15 15 19 20 11 1 15 16 2 20 13 13 10 19 18 7 9 5 9 4 23 15 12 19 5 24 17 17 25 11 4 22 16 
5 14 10 3 1 1 1 1 1 1 25 5 25 7 5 23 2 3 5 17 4 1 17 4 3 4 6 17 17 1 4 6 17 9 2 9 18 17 17 17 2 4 1 2 2 5 17 5 5 1 10 7 24 16 1 10 4 4 22 4 1 5 6 10 17 6 5 6 5 11 7 7 3 2 6 18 18 2 25 18 1 5 5 8 8 25 11 10 10 10 17 10 9 10 10 10 5 9 9 7 4 9 9 9 18 9 9 11 11 23 22 22 24 21 22 12 13 11 13 12 20 1 13 14 14 12 13 13 13 15 15 14 22 19 3 3 2 15 2 14 15 14 14 13 13 13 14 19 8 15 19 10 3 2 17 16 24 14 3 3 15 14 18 5 23 18 19 5 5 18 17 5 16 19 9 22 19 23 23 19 19 1 23 25 20 20 20 21 2 18 25 21 21 1 21 20 20 12 21 22 19 23 2 21 20 21 21 22 24 17 25 11 20 1 20 19 24 22 17 17 24 17 21 6 23 15 22 22 11 1 
23 10 8 10 1 5 24 5 25 23 15 18 24 1 11 10 1 21 1 18 1 24 15 20 25 19 7 11 9 23 17 23 24 4 24 18 7 2 15 19 22 24 1 25 19 15 4 20 16 15 17 9 4 14 11 23 5 21 2 10 16 8 1 14 23 11 3 9 23 17 1 1 1 4 21 6 17 10 11 13 2 25 12 13 5 8 15 25 10 13 4 23 1 22 16 10 13 21 11 3 2 18 21 21 11 22 24 3 25 18 13 23 2 14 13 25 7 25 16 21 2 1 9 8 18 2 7 4 21 20 21 2 18 25 13 24 5 16 1 22 9 21 22 10 16 9 9 4 3 10 19 7 2 4 8 18 17 12 21 1 14 19 3 15 20 3 13 12 4 21 24 13 13 7 11 18 9 9 9 11 3 25 3 14 1 6 15 24 21 5 10 22 25 14 25 17 22 16 24 15 13 11 24 11 17 3 15 22 10 1 17 3 4 1 10 20 21 24 19 5 23 17 25 22 6 6 18 25 2 13 
