26.0 -51.52665249270289 -20.3164000636116 
24.0 -55.39075214972882 -16.067594584083075 
26.0 -51.5605891442866 -20.304404665846974 
26.0 -51.5605891442866 -20.304404665846974 
26.0 -51.22247302929298 -22.30194333444333 
25.0 -51.4838996145417 -21.40944336219336 
25.0 -52.87216109939625 -19.39404771690298 
25.0 -51.11351257049735 -22.863158874458875 
25.0 -53.01040980721018 -19.34673227123753 
25.0 -52.515262390053074 -19.898866761824344 
25.0 -52.87216109939625 -19.39404771690298 
26.0 -51.23048945486418 -21.844093433276132 
25.0 -53.49156034734174 -19.260790030231206 
