2 4 19 26 19 20 14 18 7 24 17 15 17 5 10 20 3 10 7 25 11 21 17 19 1 1 16 22 17 19 21 21 16 23 21 15 12 15 21 8 17 26 4 26 13 7 21 22 20 26 15 3 7 10 15 5 9 16 4 3 10 2 22 5 4 17 2 11 26 17 7 3 4 11 15 23 15 15 22 26 21 2 6 9 22 21 21 9 2 18 3 15 20 7 17 3 22 6 19 22 11 4 9 7 17 15 23 1 4 4 7 8 1 22 14 22 19 4 7 2 25 10 14 13 10 8 3 22 21 12 6 20 12 3 25 22 25 21 20 12 20 6 21 4 6 4 2 8 8 16 13 9 10 8 24 14 11 21 12 3 1 6 24 2 4 3 25 7 16 6 13 2 2 11 3 5 26 19 6 15 24 6 4 24 17 16 9 15 13 20 10 10 15 7 14 15 5 20 12 12 19 1 2 11 24 15 18 22 20 2 10 4 11 1 1 25 6 20 23 2 22 1 8 25 3 23 16 15 20 21 
2 4 19 26 19 20 14 18 7 24 17 15 17 5 10 20 3 10 7 25 11 21 17 19 1 1 16 22 17 19 21 21 16 23 21 15 12 15 21 8 17 26 4 26 13 7 21 22 20 26 15 3 7 10 15 5 9 16 4 3 10 2 22 5 4 17 2 11 26 17 7 3 4 11 15 23 15 15 22 26 21 2 6 9 22 21 21 9 2 18 3 15 20 7 17 3 22 6 19 22 11 4 9 7 17 15 23 1 4 4 7 8 1 22 14 22 19 4 7 2 25 10 14 13 10 8 3 22 21 12 6 20 12 3 25 22 25 21 20 12 20 6 21 4 6 4 2 8 8 16 13 9 10 8 24 14 11 21 12 3 1 6 24 2 4 3 25 7 16 6 13 2 2 11 3 5 26 19 6 15 24 6 4 24 17 16 9 15 13 20 10 10 15 7 14 15 5 20 12 12 19 1 2 11 24 15 18 22 20 2 10 4 11 1 1 25 6 20 23 2 22 1 8 25 3 23 16 15 20 21 
2 4 19 26 19 20 14 18 7 24 17 15 17 5 10 20 3 10 7 25 11 21 17 19 1 1 16 22 17 19 21 21 16 23 21 15 12 15 21 8 17 26 4 26 13 7 21 22 20 26 15 3 7 10 15 5 9 16 4 3 10 2 22 5 4 17 2 11 26 17 7 3 4 11 15 23 15 15 22 26 21 2 6 9 22 21 21 9 2 18 3 15 20 7 17 4 22 6 19 22 11 4 9 7 17 15 23 1 4 4 7 8 1 22 14 22 19 4 7 2 25 10 14 13 10 8 3 22 21 12 6 20 12 3 25 22 25 21 20 12 20 6 21 4 6 4 2 8 8 16 13 9 10 8 24 14 11 21 12 3 1 6 24 2 4 3 25 7 16 6 13 2 2 11 3 5 26 19 6 15 24 6 4 24 17 16 9 15 13 20 10 10 15 7 14 15 5 20 12 12 19 1 2 11 24 15 18 22 20 2 10 4 11 1 1 25 6 20 23 2 22 1 8 25 3 23 16 15 20 21 
1 2 11 16 2 13 6 26 10 22 16 2 10 16 17 4 19 24 18 6 15 4 24 1 24 10 24 15 17 19 22 9 22 1 4 6 11 2 4 23 1 13 1 25 6 5 20 23 13 23 7 18 1 16 3 1 20 21 1 3 24 8 17 22 10 8 25 8 15 10 12 8 15 5 19 5 4 24 10 8 6 25 9 13 18 16 2 10 10 19 15 3 10 17 13 21 12 22 6 24 13 7 11 25 22 1 2 1 22 1 6 7 2 14 1 12 13 7 12 12 18 17 17 19 23 23 12 4 14 9 15 19 15 12 23 21 3 10 1 2 1 12 14 25 19 1 5 19 24 21 16 20 8 11 11 16 18 18 4 13 9 8 17 11 22 10 5 14 19 14 14 13 11 19 13 11 24 16 21 25 3 18 23 24 24 9 4 14 21 10 4 19 21 9 20 16 22 24 4 21 19 11 2 18 10 13 9 5 9 8 23 10 7 25 11 5 2 22 24 19 25 4 7 17 2 9 24 21 22 17 
22 19 4 23 18 25 15 16 2 24 1 22 7 10 19 25 19 9 1 22 11 24 1 17 12 8 14 17 2 12 20 16 9 23 22 23 2 23 1 10 1 2 19 25 24 19 2 7 19 6 18 12 19 21 1 2 15 21 11 24 7 15 2 18 19 21 4 2 21 21 10 2 14 17 19 21 13 4 17 1 3 6 23 20 21 16 25 1 4 22 5 16 3 20 12 15 10 11 17 22 17 16 25 3 4 17 11 20 9 17 1 13 13 2 2 25 21 17 5 18 15 2 9 4 15 24 10 16 15 15 5 23 4 14 12 19 19 7 7 18 21 14 24 17 5 13 19 1 5 21 11 4 11 3 23 14 6 19 4 16 23 20 5 10 22 7 20 24 5 22 17 3 18 1 3 20 5 25 21 24 2 12 1 11 8 22 5 18 23 20 18 5 10 9 19 1 15 9 4 2 25 21 8 22 11 2 2 8 1 25 12 16 7 21 1 12 22 24 15 21 4 15 2 3 19 10 14 24 11 18 
21 3 19 26 18 6 12 5 6 24 16 15 15 4 19 20 3 10 7 25 11 21 17 19 6 1 16 22 17 15 21 18 15 23 21 14 12 15 18 8 17 6 23 26 12 7 21 21 20 26 15 3 7 10 2 21 9 16 4 3 10 2 22 5 3 17 2 11 26 17 7 1 4 11 20 22 15 11 22 26 20 2 6 9 22 19 21 9 25 18 18 15 9 7 17 3 11 5 20 22 11 11 9 16 17 15 23 1 4 3 16 8 17 22 15 22 1 4 7 13 25 10 4 13 10 8 3 22 21 2 5 19 12 2 25 22 25 21 6 12 20 6 21 14 6 4 1 10 8 16 13 9 10 8 10 14 11 20 12 2 1 6 24 2 24 18 24 7 15 6 7 24 2 11 3 5 26 19 6 15 24 6 4 23 17 16 21 14 13 20 10 10 15 7 22 15 2 2 12 12 18 1 2 11 24 15 18 18 20 2 10 14 11 1 1 25 6 20 23 2 21 1 8 25 3 8 15 13 20 14 
17 13 11 16 3 25 13 14 3 23 4 21 4 5 9 23 22 9 14 1 12 19 19 20 6 1 7 7 25 4 12 7 2 3 14 6 2 1 16 5 1 12 22 1 9 18 20 22 13 21 7 17 15 4 22 13 16 21 11 1 7 5 25 22 10 23 25 10 14 11 7 8 2 10 16 20 3 16 10 6 4 17 4 7 22 17 13 9 4 22 5 18 8 8 13 20 1 21 25 20 17 8 6 10 21 16 22 14 15 19 20 8 1 4 1 9 13 8 23 19 17 24 7 11 14 4 6 6 24 8 11 1 13 11 8 20 19 8 24 1 23 19 14 17 7 12 19 8 17 22 20 3 11 17 10 8 21 1 16 16 8 5 17 8 17 6 4 13 19 15 17 1 24 1 4 24 14 5 12 8 4 12 1 1 16 9 23 19 6 23 3 8 23 7 20 15 9 1 20 21 19 14 13 22 5 22 8 7 9 7 23 11 24 25 17 6 23 22 1 13 3 24 19 1 22 10 20 18 8 18 
17 1 5 16 17 2 8 16 3 22 20 13 5 16 22 24 1 20 17 5 14 4 2 19 23 10 5 6 1 4 23 9 1 19 4 6 18 1 12 6 1 12 23 24 6 5 2 22 15 1 13 16 15 11 2 14 1 22 9 12 7 25 13 23 10 17 10 10 15 10 11 8 14 8 15 14 1 24 9 7 7 24 3 17 18 1 4 10 7 22 7 1 9 23 11 22 1 22 4 23 13 8 12 3 13 1 13 1 1 1 7 8 24 14 1 24 13 14 2 12 20 12 15 4 22 23 2 9 14 24 11 10 4 11 22 19 3 11 14 2 1 4 15 24 19 3 21 20 21 20 11 14 8 10 17 3 20 21 2 12 22 20 3 5 23 10 5 20 19 15 7 1 5 19 1 20 18 11 11 19 3 19 22 1 23 16 22 14 17 24 4 9 7 8 21 18 21 24 16 20 21 10 6 21 6 13 7 5 9 18 5 21 19 1 12 16 2 17 3 24 24 3 14 8 16 9 24 14 11 16 
2 5 2 13 3 2 10 18 4 22 6 24 9 3 22 19 11 1 6 17 3 2 19 1 6 21 9 9 3 19 20 6 2 24 1 1 5 2 7 24 8 25 12 1 16 2 24 18 18 5 15 19 2 1 9 5 9 1 24 25 1 13 11 18 20 15 7 25 17 20 4 8 5 6 6 13 6 2 12 7 7 11 11 13 21 10 6 14 25 7 18 18 8 9 17 21 13 8 3 22 15 15 3 3 14 23 17 18 16 12 10 22 12 13 1 8 21 17 23 3 5 9 21 20 12 9 23 14 13 24 2 9 11 10 5 24 6 19 25 11 12 23 11 14 13 6 7 15 4 22 21 7 17 16 7 12 20 1 22 6 2 4 7 18 15 17 14 25 4 22 15 24 9 17 1 20 6 19 2 19 13 20 25 15 6 1 25 7 23 11 6 18 15 21 21 11 10 9 16 19 19 4 18 12 11 23 14 9 14 25 11 1 15 7 24 21 15 14 22 12 25 8 22 8 15 9 9 19 24 17 
2 4 19 26 19 20 14 18 7 24 17 15 17 5 10 20 3 10 7 25 11 21 17 19 1 1 16 22 17 19 21 21 16 23 21 15 12 15 21 8 17 26 4 26 13 7 21 22 20 26 15 3 7 10 15 5 9 16 4 3 10 2 23 5 4 17 2 11 26 17 7 3 4 11 15 23 15 15 22 26 21 2 6 9 22 20 21 9 2 18 3 15 20 7 17 3 22 6 19 22 11 4 9 7 17 15 23 1 4 4 7 8 1 22 15 22 19 4 7 2 25 10 14 13 10 8 3 22 21 12 6 20 12 3 25 22 25 21 20 12 20 6 21 4 6 4 2 8 8 16 13 9 10 8 24 14 11 21 12 3 1 6 24 2 4 3 25 7 16 6 13 2 2 11 3 5 26 19 6 15 24 6 4 24 17 16 9 15 13 20 10 10 15 7 14 15 5 20 12 12 19 1 2 11 24 15 18 22 20 2 11 4 11 1 1 25 6 20 23 2 22 1 8 25 3 23 16 15 20 21 
